num	sa	year	doc	SDG_1	SDG_2	SDG_3	SDG_4	SDG_5	SDG_6	SDG_7	SDG_8	SDG_9	SDG_10	SDG_11	SDG_12	SDG_13	SDG_14	SDG_15	SDG_16	SDG_17	Filter							doc	StatApp	year
63		2017	Italy_2017	0.016390286	0.069877022	0.017051346	0.046678331	0.050505848	0.032826326	0.007059227	0.069821619	0.035177979	0.014522861	0.057236713	0.056558841	0.024891242	0.039316984	0.065036222	0.017545349	0.029428036	0.350075769							Viet_Nam_2018		2018
76		2018	Jamaica_2018	0.016771906	0.015232949	0.025404362	0.054658431	0.019044724	0.018910713	0.030538306	0.030427432	0.021082798	0.009469634	0.042275888	0.028639056	0.072439006	0.020943403	0.027831517	0.024288921	0.114339123	0.42770183							Belgium_2017	sa	2017
1		2017	Japan_2017	0.009708636	0.010716265	0.015553348	0.017139642	0.027998856	0.027378993	0.008299352	0.019180662	0.012291441	0.013589331	0.038126588	0.044704622	0.095932536	0.024260582	0.032668928	0.019845645	0.121045319	0.461559256							Singapore_2018	sa	2018
51		2017	Jordan_2017	0.02068355	0.015584328	0.019611697	0.039319389	0.033990314	0.028468765	0.023347189	0.061387048	0.01205641	0.001205063	0.0217156	0.019939477	0.070998394	0.004611294	1.28E-05	0.038564441	0.109962154	0.478542051							Latvia_2018	sa	2018
64		2017	Kenya_2017	0.018553436	0.022467375	0.045538702	0.044713328	0.026523882	0.028769762	0.014224699	0.024662246	0.02740967	0.007318405	0.045960901	0.018863824	0.052132433	0.014807317	0.023373294	0.025728687	0.115877801	0.443074238							Bhutan_2018	sa	2018
33		2018	Kiribati_2018	0.013932822	0.026123204	0.028434904	0.07662185	0.047957036	0.031477379	0.011001696	0.027600921	0.009626704	0.01169971	0.032477174	0.016282489	0.055058553	0.045121578	0.023605442	0.016131584	0.071863854	0.4549831							Qatar_2017		2017
75		2018	Kiribati_2018_without_tables	0.014388576	0.027305047	0.028682076	0.070868638	0.034313753	0.034700872	0.011139852	0.021463501	0.010165187	0.013975934	0.034733436	0.017853782	0.058035251	0.046727981	0.025332535	0.017324983	0.076005073	0.456983524							India_2017		2017
42		2018	Lao_2018	0.019127007	0.025475383	0.036137374	0.048880103	0.042232041	0.027770346	0.015824045	0.044823621	0.011575211	0.0090267	0.026654082	0.018573081	0.063959633	0.018063375	0.039513598	0.023595834	0.090909184	0.437859382							Tajikistan_2017		2017
11		2018	Latvia_2018	0.009333772	0.010171783	0.0223994	0.03828398	0.033702188	0.009795421	0.021191027	0.037929753	0.021251707	0.01767905	0.040285465	0.047068936	0.055362482	0.028135277	0.029313336	0.022891754	0.079276951	0.475927718							Afghanistan_2017		2017
98		2018	Lebanon_2018	0.018105441	0.012095084	0.015535839	0.042248084	0.03067285	0.023250308	0.019802326	0.055542998	0.021437482	0.012737299	0.044831708	0.025191262	0.057408934	0.02413623	0.031391497	0.04327974	0.091023836	0.431309082							Zimbabwe_2017	sa	2017
